"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1348704438.58421","1507408171.61814","1630343440.82836","1778312497.26427","1966271277.83822","2068993689.76888","2128552799.28405","2312168482.06799","2415817395.04033","2422237612.75393","2701368057.00624","2830695630.42292","2732861898.1481","2948486294.48866","3225131209.20531","2730958520.78107","3419200803.02178","3239139062.18564","3764635341.71171","3367968711.20685","3238413846.00559","3286105273.53604","3394441793.94871","3570658808.16403","3676606602.51059","3729452520.89374","3762901964.55722","3871873899.09944","4120241310.43286","4318084058.59051","3630103508.28331","4413865993.25841",
"Africa Eastern and Southern","AFE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525290041180.09","549685134621.686","536319978167.375","562030099682.613","583647911686.858","635192145517.012","682937527105.314","728679658792.752","747916142058.457","775503235523.649","823241338433.217","872128220131.843","924032830907.535","976118267655.114","1058930616102.23","1159621281992.22","1273386602984.21","1388147890968.14","1470677025909.23","1502910753381.56","1588947954637.86","1691278898241.75","1706037702362.08","1818525913138.4","1953198815921.48","2029313125185.98","2154919164721.43","2229494148145.49","2341466387442.75","2441759694152.87","2410925795682.71","2614134152519.96",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43017518424.315","50017440572.547","51128371958.7309","59760957552.2293","65266760469.3186","69050351844.7807","72481076025.8795","70796494469.9087","75695088355.1237","78210930484.6157","83174634965.4069","81670680490.2877","67358352349.6721",
"Africa Western and Central","AFW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","341957263134.968","359149516731.042","374389853160.67","373407415113.01","385888941737.824","404977103697.784","420134760748.654","446722490583.998","466124321568.931","488346126976.815","494451449963.54","541069708970.644","601705972137.319","644404377027.014","711758012087.9","781519563216.948","889104075718.716","948918831351.926","1026409382316.5","1093635689165.46","1179440280334.26","1262551641841.4","1343607093805.29","1434352203045.06","1587068918728.2","1618247125999.54","1633342990563.96","1683432442348.32","1763606670617.34","1869061518915.63","1876354584597.86","2027717837522.13",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35285819495.4226","40369082197.805","20500922730.1886","19416015966.6452","16941644849.0666","32608487941.6013","34686270742.2029","41845008295.566","43142036296.7384","41625888564.3273","45571716536.5546","48998228741.3215","58916240019.6179","62569387147.9415","70611195372.9951","83436173758.8902","94985093973.6699","111409473789.38","120728949596.378","130941812701.359","139039632835.541","148439257240.722","170976222328.791","185392118906.055","206980767331.719","194201081274.68","194190243960.592","204589335521.181","203242258671.793","202500001652.441","194792376473.785","206278150753.123",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8373277834.8295","6135319641.4667","5656951732.60744","6798043054.24041","7390303320.54036","8627266155.44032","9653517285.65337","8746641295.42111","9735534986.71395","11045568588.6199","12284789072.7133","13580022163.8789","14578898002.6769","15606035097.3692","16816502528.4626","18018684855.0701","20230000836.7273","22235207959.8139","24373768739.1969","25390029892.0243","27765688484.642","29649732427.7001","30287948237.2095","31140877607.7052","32832459492.9114","33984364992.1811","35315568303.8814","36793059582.4556","38636235486.8276","39359763129.5454","38401790829.8125","43565274037.338",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1531925007961.26","1703244109180.01","1829018232107.17","1934553356133.66","2010241427827.88","2110591235113.59","2227352245350.42","2360539558021.74","2551791753682.8","2623351439868.06","2847436999285.49","2972376583501.78","2992209784097.48","3176270773008.25","3569785330736.35","3858553244947.65","4251580374514.4","4592403561951.13","4933275173604.84","4960520056886.37","5210364308966.37","5499566018939.22","5987681604206.46","6107563405754.5","6180205768011.82","5720976331102.85","5662190000014.43","5961954476603.67","6223399720195.36","6413767978693.75","6228630578927.58","",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322960568228.497","334927558285.687","334928278631.502","368343133257.744","416581361920.839","455522060930.932","518487644597.051","555446366034.18","572622507068.968","545135164874.196","554648530330.454","605808815823.081","649109022131.562","664840707156.94","697903833400.727","624484063528.05","622805743361.848","650093696452.787","671840878439.043","692551507198.357","661994628215.022","",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224167776583.261","256347183736.939","286588852306.482","319383650737.751","344648787375.937","340568829314.428","365180121932.408","401192322763.359","419803500013.184","410652714576.913","416543213705.884","406229568312.825","359287109112.954","403170047755.339","418044160252.763","467987564262.799","568706551188.857","641116244915.934","680954189838.008","640794035811.924","711692954070.776","774475577236.926","800317625387.391","831394119044.485","822682190485.563","850943025659.001","865728756874.78","1012802784989.8","999331043693.004","993132231271.456","917722295557.325","1061536885334.08",
"Armenia","ARM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9443352839.5753","8939454213.88335","4451275890.7651","4968320309.58061","5337861477.43416","6000977838.20385","6476167138.10491","7013743624.32141","7407622725.04846","7750282432.30261","8402228179.66485","9408755566.66737","10865435005.7348","12611808302.9975","14426393524.0208","16956037657.7612","19886529023.2614","23371139898.2539","25589642245.0294","21750889670.9294","22669393132.4502","23905121367.1988","28085043286.0165","30249264888.7339","30546350169.5526","30350856297.5624","32159509360.9134","36931688582.4329","39046324639.4314","42643864254.2006","38915231567.3973","42242456978.5094",
"American Samoa","ASM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","654710278.091584","715254148.37091","745748342.741688","817477010.462627","888690039.32186","866473215.429646","945553411.292651","1023558435.57365","1088024857.05876","1142322366.75922","1209851278.87227","1209433807.24953","1215385532.7177","1322590594.69687","1430646414.16472","1584120950.57221","1841904857.44271","2068455651.55138","2098020177.87118","1865126657.49373","1770834105.05887","1760071676.80133","1713287781.8074","1663882354.66843","1676616004.68012","1658065071.79397","1755596330.0332","1791695125.50967","1971358280.50951","2072545831.4024","1754061444.48835","1936530315.60104",
"Australia","AUS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286147857185.764","295746634934.954","306422199332.586","329492885646.86","350895875734.581","365330757056.145","388976431977.495","411375687675.599","439014445435.152","464163614634.334","490325669913.809","518150207416.937","550345307484.53","576481116375.858","614320774692.745","641519898354.601","684059102742.957","728741551425.92","764681662095.109","843693610944.546","833801520238.246","901053702983.087","944456745113.19","1035357049815.39","1071860785176.34","1079145492508.27","1116114404243.41","1158055244042.01","1213931146767.25","1269039432489.41","1338141048914.63","1429735249784.74",
"Austria","AUT","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150105193631.37","159676112991.803","167271958545.804","172190070466.419","179871848020.426","187527807357.238","195314503990.048","201663438911.695","211487781803.128","217144060110.011","233298406822.238","235612044611.598","250522395607.009","260400622404.77","275618225260.17","287476798281.967","312142451838.553","326766369608.111","346680570770.484","341245254707.958","354280862988.162","374289188740.567","392030460346.489","407466618825.439","417609480255.935","426732539405.343","460248078658.205","472121614071.579","498627781704.541","513848884230.027","495985448757.136","522766228265.338",
"Azerbaijan","AZE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24192455869.6988","19794227614.1085","17781957839.5815","18319097568.5896","19727289129.6771","22069893523.5659","24932237010.0484","26729639909.0101","29810493441.7179","32937271772.0775","36882488244.2552","40324484427.6371","50112940094.2678","69038045043.0504","85968516583.8538","101974605603.795","115787865664.861","124948063267.161","126513330052.276","139942118752.313","153814756946.049","161560771985.524","139536668196.983","131802753631.7","133891980747.811","137679022973.348","145069061977.338","145208915844.926","157380657197.014",
"Burundi","BDI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3305868179.55553","3598839124.98312","3708938568.96852","3566243673.57247","3497593663.15286","3287826480.58803","3071059961.72889","3082354570.40886","3274680316.25489","3274598935.31922","3413530970.7128","3455386002.32066","3655865389.10312","3659077807.18507","3910617249.29648","4127881290.60415","4526607288.19746","4821960531.8341","5162014020.35365","5356075850.63316","5722262798.4003","6061589359.64675","6368379910.21901","7074295572.52413","7628334837.90584","8551056104.25342","8354333752.75671","8380014255.21821","8732109257.53112","9056249718.25273","9219327141.96264","9749878799.18312",
"Belgium","BEL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186759015388.657","197360234053.201","204897156667.707","209780484906.109","222886946778.952","232410295526.958","236317528608.657","247503665847.242","254674705723.285","266229271979.969","292167103278.029","301669784793.251","318307798007.558","327091939053.524","338773378241.772","352001708926.337","377261003192.381","396370195671.539","415597849908.875","415141452282.646","440743653863.624","452655752838.946","480620383220.801","499349513623.745","514186705056.397","528249820624.552","555959647175.261","579048881302.262","605554359498.285","629492134526.717","619358815283.807","688981572847.584",
"Benin","BEN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6173858880.47601","6673547402.98562","6924006808.50186","7602879332.18517","7894701492.83679","8557590709.53614","9097229103.40601","9830882666.1415","10394056980.2214","11110619768.641","12026254072.2015","12946713962.0525","13720836586.4983","14467663511.7471","15532068457.8216","16347374768.4514","17488379961.1496","19004845069.4699","20415476948.705","20975678924.417","21628404646.4189","22827277379.615","24162896617.311","26561886938.3552","29012509444.3848","30282958642.7141","32384504143.6299","33647417490.4049","36761232957.0914","40028224270.2261","42051631061.502","48684692867.7788",
