,Belgium,Canada,Denmark,France,Germany,Dom. Rep.,Haiti,Ireland,Mexico,Morocco,Netherlands,Portugal,Spain,Sweden,UK,US,All countries
Belgium,0.1955328102662018,0.006647677040292471,6.192434097321807e-06,0.42854356387159126,8.579786371790532e-05,0.013258087605218356,0.03470878048641726,0.00045286948351407714,5.919422109822595e-07,0.005503955758489197,0.723676299425956,0.0002748597621990552,0.000593969938639448,1.7345906792790454e-05,0.9059908248322154,0.03372281362535357,2.349016440242907
Canada,0.021941077640386338,53.515481252598114,0.002491191413937036,0.05532781338155271,0.0945712427402399,10.705763392992834,16.793194147157845,0.03792090571053742,0.49640902227034034,0.31969680357519414,0.13771582679939456,0.02232189017685649,0.015595328000646778,0.013376762541515397,0.3204915309295977,54.746153144922516,137.29845133285153
Denmark,1.14191568968897,0.049408896876166716,0.37570630437909497,1.9674646811685674,8.285624525338974,0.1925677017861064,0.509124080259853,0.05479512074673776,8.205966772276466e-05,0.040858021681638344,12.515742809994045,0.0026909537392649893,0.002969060439130948,1.0814430742718437,9.256105778373989,0.3857551696393817,35.86225392805149
France,0.19839061759940768,1.0945406935872288,0.0006657330282035995,32.98374644927218,0.024811892603271605,10.917569479876926,11.493664542591572,0.03249061203062845,0.03232782227863306,3.3712299193963213,0.6309512629461003,0.7109252091499924,21.846972194096658,0.005508469641697711,3.3769383442292304,9.986767979232194,96.70750122156024
Germany,1.1019784188421582,0.03086187443848064,0.04965774231735539,1.250645886491669,11.973729806992171,0.08919112620534835,0.2088186270654312,0.014406231231687919,2.0706608043582862e-05,0.029754718791029835,13.564511417889037,0.0013268039849451327,0.002363688259599639,0.1820949530908977,6.247200258079597,0.21198694934468476,34.95854920963214
Dom. Rep.,1.8232678542792062e-06,0.04560118524363209,2.9383478125436046e-07,0.013894935822982193,3.378543411723223e-05,298.06279067819304,10.5604551685671,1.806535101911927e-05,0.006373818680455644,3.6149999642942245,1.4279061269485205e-06,0.185310683405399,0.08686399210013387,1.827862242121974e-06,0.0006427718710516618,1.3116586852430772,313.88864910707724
Haiti,3.2513578880033693e-12,0.01570737735730591,1.5640573106062253e-08,0.0036162822007317326,2.369026520337693e-06,314.6537400590808,409.435274968043,1.4147867901430197e-06,0.00028515319806964804,1.6235273405250115,3.1476355074706903e-09,0.07881103346857675,0.031438077762346396,2.773301700280792e-09,0.00016388482099385484,0.3926959428782783,726.2352639247132
Ireland,0.006431213619456328,0.33354808240061723,0.0017079870486000322,0.04362984336470378,0.055747910248063075,0.48360860719331883,0.917399530525175,6.5090257148754675,0.00017397359524286025,0.03641936976315456,0.0873375337441881,0.0072754873813214915,0.01483732887901774,0.010677026434996401,2.7203400951499783,0.816586725255778,12.044746429479078
Mexico,0.00032861854236780917,0.47386914177427486,2.816150623578452e-05,0.6498624761525496,0.0010505610306540405,540.9814149970236,673.9107754211997,0.0019075965425121469,670.9760534498281,36.346957841404695,0.002776558818872206,1.6960530767358497,1.570210551486129,0.002694900852575306,0.014458804167902042,113.21877869278617,2039.8472208498524
Morocco,0.0002676468286687599,0.38918280907101493,2.7634133924568338e-05,0.04238382295883976,0.003517996488788029,4.858821625942855,6.136235107274162,0.0013301034121762922,0.004718225020300387,248.66509694188449,0.0008718469223082125,5.2315625210869845,2.7559816722425534,0.000161549969790518,0.009358803874973948,4.769729898246354,272.86924820535813
Netherlands,2.178585394504569,0.045682710498406554,0.0003509583965588402,2.2028157233802244,0.36764389857877294,0.0987606580531304,0.20906159814960645,0.006621766992008729,9.055347492977104e-06,0.04986774589405465,14.17333689965797,0.0016754143314554229,0.0036933504879708436,0.002371413690788823,9.901320521129314,0.2551595634981736,29.4969566725905
Portugal,0.0007059002855401539,1.5856569244279557,0.00018113418322581828,0.302405054902241,0.0032265497031964403,35.07152777165263,54.348865645746535,0.002488145544357832,0.10823706517235396,5.3983368692234,0.0058224797379043125,8.651579819934556,3.514257059377997,0.0005480672711485508,0.018877031839549453,52.1404739439188,161.1531894629214
Spain,0.0031304500963623364,1.2048221706494577,0.0004359686348343596,12.264762219085892,0.014263747879021314,12.496813997614325,15.108629103005462,0.009283146324131323,0.03200646360111578,45.23888012501939,0.01973455131375614,2.349227264500783,33.073740233259336,0.0034834449429816273,0.10907376419433942,12.888416664100735,134.81670331422194
Sweden,0.32492556967626096,0.013400876105543115,0.17888812382644187,0.43033104370439307,2.5604301293205878,0.0620419842676445,0.19120939975797224,0.019026987259809197,2.8297169704699414e-05,0.0060438336967865046,2.8867099624602193,0.0008257750143439438,0.0008399402338968001,3.423610450178459,1.9115638545668336,0.10491433960923091,12.114790566848129
UK,0.41714037789668146,1.0290444293752912,0.009039458270946252,2.2359208695446746,0.40917274341228,2.757022560029676,4.647044798260369,24.699498086008916,0.00507711938051934,0.329442808997601,1.802472988690464,0.04467668667372955,0.10629380575341875,0.054309798173947474,139.32003833553986,3.819823406506266,181.68601827251467
US,0.0013024393336128037,19.359050276033372,1.5328814566746377e-05,0.4644374600200102,0.0017499599783170647,425.99172326935854,528.8360538330734,0.0021839915948713893,174.69634784676958,23.881193448269322,0.0023360683017546948,1.2823816419006502,1.1740926566463201,0.0014207975316702722,0.017672084375471124,368.4701128397891,1544.1820739417903
